hour_of_day,day_of_week,is_off_hours,severity,category_risk,role_risk_score,status_risk,bytes_zscore,user_event_count,user_patient_access_count,user_failed_login_count,is_anomaly
18,0,0,4,4,4,0,-0.12,168,41,9,0
18,0,0,5,3,2,5,-0.1228,165,36,8,1
18,0,0,1,3,2,3,-0.1259,184,57,6,0
18,0,0,1,3,3,0,-0.1227,193,40,8,0
18,0,0,1,1,2,0,-0.1112,163,34,10,0
18,0,0,2,3,2,3,-0.0886,173,50,8,0
18,0,0,5,2,3,3,-0.1261,168,44,7,0
18,0,0,5,1,3,3,-0.1201,165,25,16,1
18,0,0,3,4,2,0,0.0265,163,34,10,1
18,0,0,2,2,3,0,-0.095,169,42,4,0
18,0,0,4,2,4,4,-0.1071,165,38,8,0
18,0,0,1,3,4,0,-0.1024,169,49,8,0
18,0,0,2,3,1,3,-0.0954,155,44,7,0
18,0,0,1,1,2,0,-0.0973,173,50,8,0
18,0,0,2,2,2,0,-0.112,191,47,14,0
18,0,0,2,4,2,2,-0.1152,146,36,10,0
18,0,0,5,3,2,5,-0.1007,181,46,12,1
18,0,0,4,3,3,5,-0.126,165,41,16,0
18,0,0,4,2,2,5,-0.1245,181,46,12,0
18,0,0,2,2,2,0,-0.1236,151,30,9,0
19,0,0,1,2,3,2,-0.1244,169,42,4,0
19,0,0,1,1,2,0,-0.1232,184,57,6,0
19,0,0,2,2,2,0,-0.0982,165,44,12,0
19,0,0,4,1,3,2,-0.0939,165,25,16,0
19,0,0,5,2,2,5,-0.1187,204,49,9,0
19,0,0,2,1,4,0,-0.1171,169,49,8,0
19,0,0,1,3,3,0,-0.1226,179,41,9,0
19,0,0,2,2,4,0,-0.1141,160,34,11,0
19,0,0,2,4,4,0,-0.1006,160,34,11,0
19,0,0,1,3,3,0,-0.1143,173,35,9,0
19,0,0,1,2,3,0,-0.1191,193,40,8,0
19,0,0,3,2,1,0,-0.1167,151,41,14,0
19,0,0,1,1,2,0,-0.112,204,49,9,0
19,0,0,1,2,2,0,-0.1188,146,36,10,0
19,0,0,4,4,3,0,-0.1036,177,49,9,0
19,0,0,3,2,2,4,-0.1061,180,41,8,0
19,0,0,1,1,2,0,-0.0885,192,41,12,0
19,0,0,2,3,2,0,-0.0955,174,41,9,0
19,0,0,1,2,3,0,-0.0901,172,41,5,0
19,0,0,2,3,3,0,-0.0984,179,41,9,0
19,0,0,4,3,2,3,-0.1151,204,49,9,0
19,0,0,3,1,3,2,-0.1045,165,33,10,0
19,0,0,4,4,3,0,-0.1246,159,36,11,0
19,0,0,2,2,2,0,-0.1236,181,46,12,0
19,0,0,3,4,3,0,-0.1162,159,36,11,0
19,0,0,5,3,2,3,-0.1041,151,30,9,0
19,0,0,2,2,2,0,-0.1128,173,50,8,0
19,0,0,2,2,1,0,-0.1261,175,52,8,0
19,0,0,1,3,2,3,-0.1203,162,45,10,0
19,0,0,4,4,2,0,-0.1248,157,39,9,0
19,0,0,3,1,2,3,-0.0974,157,39,9,0
19,0,0,1,2,3,0,-0.1142,192,43,14,0
19,0,0,2,1,3,2,-0.101,194,40,20,0
19,0,0,1,3,3,0,-0.1114,168,44,7,0
19,0,0,2,2,3,0,-0.0897,172,47,9,0
20,0,0,1,1,3,0,-0.0876,179,41,9,0
20,0,0,1,2,2,0,-0.1124,199,39,12,0
20,0,0,3,1,2,2,-0.1127,168,47,13,0
20,0,0,2,3,2,3,-0.1074,181,46,12,0
20,0,0,1,1,2,0,-0.1258,204,49,9,0
20,0,0,2,3,2,0,-0.0743,199,39,12,0
20,0,0,3,1,3,3,-0.1081,173,35,9,1
20,0,0,2,2,2,0,-0.1219,167,34,8,0
20,0,0,1,3,3,3,-0.0891,159,36,11,0
20,0,0,5,2,2,3,-0.1029,167,34,8,0
20,0,0,2,3,2,0,-0.0971,180,41,8,0
20,0,0,5,2,2,4,-0.0992,157,41,10,0
20,0,0,5,2,2,4,-0.1145,167,45,7,0
20,0,0,3,4,3,2,-0.1258,175,44,16,0
20,0,0,3,2,2,2,-0.1127,186,42,7,0
20,0,0,2,1,3,0,-0.1186,164,39,8,0
20,0,0,1,1,4,0,-0.1101,160,34,11,0
20,0,0,1,2,1,0,-0.0886,155,44,7,0
20,0,0,4,4,3,2,-0.125,165,25,16,0
20,0,0,1,1,3,0,-0.0869,177,37,16,0
20,0,0,3,4,2,2,-0.1261,173,50,8,0
20,0,0,1,3,3,0,-0.1036,159,36,11,0
20,0,0,5,4,2,2,9.903,170,43,8,1
20,0,0,1,2,2,0,-0.1069,186,42,7,0
20,0,0,1,1,2,0,-0.0915,185,47,7,0
20,0,0,1,1,3,1,-0.1101,173,35,9,0
21,0,0,2,4,3,0,-0.1204,193,46,16,0
21,0,0,1,4,1,0,-0.0985,155,44,7,0
21,0,0,1,2,3,2,-0.083,177,37,16,0
21,0,0,2,3,2,0,-0.0977,174,41,9,0
21,0,0,2,1,2,0,-0.1071,191,47,14,0
21,0,0,5,3,2,3,-0.1116,164,28,10,0
21,0,0,2,2,3,0,-0.1243,167,34,17,0
21,0,0,5,3,3,3,-0.1263,165,25,16,0
21,0,0,3,4,2,0,-0.0894,178,44,11,0
21,0,0,3,4,4,0,-0.1209,165,38,8,0
21,0,0,1,1,3,0,-0.1235,164,39,8,0
21,0,0,1,3,2,3,-0.1264,150,37,3,0
21,0,0,5,2,3,3,-0.1237,194,40,20,0
21,0,0,2,2,3,0,-0.1119,165,33,10,0
21,0,0,2,3,2,0,-0.0927,164,36,11,0
21,0,0,2,3,4,0,-0.1009,165,38,8,0
21,0,0,2,3,3,3,-0.0777,182,45,8,0
21,0,0,5,2,3,4,-0.0936,173,35,9,0
21,0,0,2,2,4,0,-0.1111,158,33,11,0
21,0,0,2,2,3,0,-0.1005,172,41,5,0
21,0,0,2,2,2,0,-0.0853,180,41,8,0
21,0,0,5,3,3,5,-0.117,161,39,7,1
21,0,0,2,4,2,2,-0.1212,199,39,12,0
21,0,0,2,4,2,0,-0.1042,199,39,12,0
21,0,0,2,2,2,0,-0.113,174,41,9,0
21,0,0,5,2,3,4,-0.0916,168,44,7,0
21,0,0,2,4,2,0,-0.1105,167,45,7,0
21,0,0,1,2,3,0,-0.1006,173,35,9,0
21,0,0,1,1,3,0,-0.0888,163,37,6,0
22,0,0,2,1,3,0,-0.1113,165,41,16,0
22,0,0,2,2,3,0,-0.1224,159,36,11,0
22,0,0,5,4,4,2,8.3438,165,38,8,1
22,0,0,5,3,4,3,-0.1206,165,38,8,0
22,0,0,5,2,2,3,-0.1092,178,44,11,1
22,0,0,3,4,3,0,-0.1054,192,49,7,0
22,0,0,2,2,2,0,-0.1136,204,49,9,0
22,0,0,3,2,2,0,-0.1012,204,49,9,0
22,0,0,1,3,3,0,-0.1059,175,44,16,0
22,0,0,2,3,3,0,-0.1054,168,44,7,0
22,0,0,4,2,3,3,-0.1136,177,37,16,0
22,0,0,4,2,1,3,-0.1068,189,49,15,1
22,0,0,4,4,3,0,0.1052,184,38,7,1
22,0,0,5,3,3,3,-0.1155,163,37,6,0
22,0,0,4,2,3,5,-0.1007,164,39,8,0
22,0,0,1,2,4,0,-0.0842,158,33,11,0
22,0,0,2,3,3,3,-0.1137,164,39,8,0
22,0,0,2,3,2,0,-0.1116,165,36,8,0
22,0,0,4,2,2,5,-0.1218,204,49,9,0
22,0,0,2,4,3,0,-0.0897,172,41,5,0
22,0,0,4,3,3,3,-0.1186,165,41,16,0
22,0,0,5,3,3,5,-0.0987,193,47,10,1
22,0,0,2,2,2,2,-0.1214,192,41,12,0
22,0,0,1,1,4,0,-0.1082,168,41,9,0
22,0,0,5,4,3,2,5.4522,159,36,11,1
22,0,0,2,2,3,0,-0.1169,176,44,11,0
22,0,0,3,1,3,3,-0.1138,174,46,9,1
22,0,0,3,2,2,2,-0.1087,167,45,7,0
22,0,0,5,4,1,2,-0.1265,186,42,7,1
22,0,0,4,3,2,3,-0.1004,168,47,13,0
22,0,0,2,4,2,0,-0.1144,157,39,9,0
22,0,0,2,4,3,0,-0.1076,184,38,7,0
22,0,0,1,3,3,0,-0.1187,161,39,7,0
23,0,0,1,1,3,0,-0.1082,173,35,9,0
23,0,0,2,3,2,3,-0.1099,157,44,18,0
23,0,0,1,3,2,0,-0.1207,165,44,12,0
23,0,0,1,1,4,0,-0.093,160,34,11,0
23,0,0,3,2,3,3,-0.1006,164,39,8,1
23,0,0,4,2,2,3,-0.0937,164,28,10,0
23,0,0,1,4,3,0,-0.1047,182,45,8,0
23,0,0,1,1,4,0,-0.0911,168,41,9,0
23,0,0,2,1,3,0,-0.1116,161,39,7,0
23,0,0,1,2,2,0,-0.1132,168,47,13,0
23,0,0,4,1,2,3,-0.1154,164,28,10,1
23,0,0,5,3,3,5,-0.1056,172,41,5,0
23,0,0,1,3,3,3,-0.0966,193,40,8,0
23,0,0,2,4,2,0,-0.0965,167,34,8,0
23,0,0,2,1,2,0,-0.0966,164,36,11,0
23,0,0,1,2,3,0,-0.1187,177,49,9,0
23,0,0,1,1,4,0,-0.1159,169,49,8,0
23,0,0,2,2,2,0,-0.1137,165,44,12,0
23,0,0,2,2,3,0,-0.0912,192,49,7,0
23,0,0,4,1,2,3,-0.1203,158,45,15,0
23,0,0,2,4,3,2,-0.11,194,40,20,0
23,0,0,1,3,3,3,-0.1232,184,38,7,0
23,0,0,5,3,3,5,-0.0975,177,49,9,0
23,0,0,5,2,3,4,-0.1162,184,38,7,0
23,0,0,2,1,2,2,-0.1176,192,41,12,0
23,0,0,4,4,2,0,-0.1213,178,44,11,0
23,0,0,1,4,3,0,-0.0912,192,43,14,0
23,0,0,3,4,3,0,-0.1063,169,42,4,0
23,0,0,2,3,3,0,-0.1181,175,44,16,0
23,0,0,2,2,4,3,-0.1107,168,41,9,0
23,0,0,2,3,2,0,-0.1082,165,36,8,0
23,0,0,5,4,1,2,-0.1181,175,44,16,1
23,0,0,1,3,3,0,-0.1133,193,40,8,0
23,0,0,2,3,3,3,-0.1045,161,39,7,0
23,0,0,3,2,2,5,-0.1205,192,41,12,0
23,0,0,4,4,3,2,-0.1144,184,38,7,0
23,0,0,2,2,4,3,-0.0917,158,33,11,0
23,0,0,5,3,4,5,-0.1171,158,33,11,0
23,0,0,2,4,2,2,-0.0833,162,45,10,0
23,0,0,2,1,3,2,-0.1248,168,44,7,0
23,0,0,2,2,3,0,-0.1237,165,33,10,0
0,1,1,1,2,2,3,-0.1154,186,42,7,0
0,1,1,2,4,4,2,-0.1183,168,41,9,0
0,1,1,2,1,3,1,-0.1121,177,49,9,0
0,1,1,4,2,3,4,-0.1045,177,37,16,0
0,1,1,2,4,3,2,-0.1228,192,43,14,0
0,1,1,2,4,3,0,-0.1236,192,49,7,0
0,1,1,2,3,3,3,-0.104,193,40,8,0
0,1,1,4,1,2,2,-0.1106,164,36,11,0
0,1,1,5,2,3,4,-0.1143,184,38,7,0
0,1,1,2,1,4,0,-0.1228,165,38,8,0
0,1,1,1,1,3,0,-0.0957,169,46,5,0
0,1,1,1,1,3,0,-0.1189,163,37,6,0
0,1,1,5,1,3,3,-0.1239,159,36,11,1
0,1,1,2,1,3,3,-0.1115,167,34,17,0
0,1,1,2,2,1,0,-0.1167,168,31,8,0
0,1,1,1,1,2,0,-0.0908,204,49,9,0
0,1,1,1,3,3,0,-0.1251,193,46,16,0
0,1,1,2,2,2,3,-0.1234,192,41,12,0
0,1,1,5,3,2,5,-0.0937,165,36,8,1
0,1,1,2,2,2,0,-0.1093,173,50,8,0
0,1,1,4,2,2,4,-0.1243,157,39,9,0
0,1,1,1,3,1,3,-0.111,155,44,7,0
0,1,1,2,1,4,1,-0.114,169,49,8,0
0,1,1,2,1,2,0,-0.0898,157,41,10,0
0,1,1,4,2,2,3,-0.0934,199,39,12,0
0,1,1,5,4,1,2,-0.1023,168,44,7,1
0,1,1,4,2,3,5,-0.1097,177,49,9,0
0,1,1,2,4,1,0,-0.0784,175,52,8,0
0,1,1,1,2,3,0,-0.1181,167,34,17,0
0,1,1,2,2,1,0,-0.0905,168,31,8,0
0,1,1,4,4,1,2,-0.077,175,52,8,0
0,1,1,1,3,2,0,-0.1138,168,47,13,0
0,1,1,1,2,2,0,-0.1046,174,41,9,0
0,1,1,1,3,3,0,-0.1071,161,39,7,0
0,1,1,1,3,3,0,-0.0866,193,47,10,0
0,1,1,1,3,2,0,-0.1114,162,45,10,0
0,1,1,1,2,2,0,-0.0984,165,44,12,0
0,1,1,4,4,3,0,-0.1192,168,44,7,0
1,1,1,4,4,4,2,-0.0907,169,49,8,0
1,1,1,2,2,2,0,-0.1204,165,36,8,0
1,1,1,4,3,2,3,-0.1169,150,37,3,0
1,1,1,3,2,3,0,-0.1154,158,32,11,0
1,1,1,3,4,2,2,-0.1163,173,50,8,0
1,1,1,3,2,1,0,-0.1221,168,31,8,0
1,1,1,3,4,3,0,-0.1236,177,37,16,0
1,1,1,1,4,3,0,-0.1025,174,46,9,0
1,1,1,2,4,2,2,-0.1095,164,28,10,0
1,1,1,2,2,3,0,-0.1235,159,36,11,0
1,1,1,1,1,2,0,-0.0987,180,41,8,0
1,1,1,3,4,3,0,-0.1208,174,46,9,1
1,1,1,1,3,3,3,-0.1082,176,44,11,0
1,1,1,4,2,2,3,-0.1094,199,39,12,0
1,1,1,2,4,3,0,-0.1175,175,44,16,0
1,1,1,2,2,1,0,-0.0851,189,49,15,0
1,1,1,2,2,2,0,-0.118,184,57,6,0
1,1,1,2,4,3,0,-0.1137,177,49,9,0
1,1,1,1,2,3,3,-0.1152,165,25,16,0
1,1,1,3,2,3,3,-0.081,164,39,8,1
1,1,1,1,3,2,0,-0.0926,151,30,9,0
1,1,1,2,4,3,0,-0.0977,193,40,8,1
1,1,1,5,3,2,3,-0.1013,204,49,9,0
1,1,1,3,2,3,0,-0.118,184,38,7,0
1,1,1,5,4,4,0,5.4803,165,38,8,1
1,1,1,5,2,3,3,-0.1073,168,44,7,0
1,1,1,3,4,4,0,0.2152,168,41,9,1
1,1,1,2,3,3,0,-0.1231,163,37,6,0
1,1,1,1,3,3,0,-0.0831,177,49,9,0
1,1,1,2,1,2,0,-0.1095,163,34,10,0
1,1,1,3,2,3,4,-0.0984,192,43,14,0
1,1,1,2,2,3,0,-0.099,169,46,5,0
1,1,1,3,4,2,0,-0.1198,192,41,12,1
1,1,1,2,4,3,0,-0.1262,193,47,10,0
1,1,1,2,4,2,0,-0.1025,167,36,16,1
2,1,1,2,2,3,2,-0.1182,158,32,11,0
2,1,1,1,3,2,3,-0.1269,170,43,8,0
2,1,1,4,4,3,0,0.2714,193,47,10,1
2,1,1,4,4,2,2,-0.1238,167,34,8,0
2,1,1,3,4,2,0,-0.1227,186,42,7,0
2,1,1,1,1,3,0,-0.1076,158,32,11,0
2,1,1,2,4,2,0,-0.1116,185,47,7,1
2,1,1,1,1,2,0,-0.0964,180,41,8,0
2,1,1,1,1,2,0,-0.1002,199,39,12,0
2,1,1,1,1,2,0,-0.1267,163,34,10,0
2,1,1,3,4,3,0,-0.1112,172,41,5,0
2,1,1,1,1,2,1,-0.1174,184,57,6,0
2,1,1,3,1,2,3,-0.0977,165,36,8,0
2,1,1,2,4,3,2,-0.12,184,38,7,0
2,1,1,5,2,2,5,-0.1228,167,45,7,0
2,1,1,4,2,3,5,-0.1247,194,40,20,0
2,1,1,2,4,4,0,-0.1268,165,38,8,0
2,1,1,1,2,2,0,-0.1138,168,47,13,0
2,1,1,4,4,1,2,-0.11,151,41,14,0
2,1,1,2,4,1,2,-0.1187,155,44,7,0
2,1,1,5,4,3,0,3.8114,177,37,16,1
2,1,1,4,3,3,3,-0.0959,165,41,16,0
2,1,1,1,4,1,0,-0.123,175,52,8,0
2,1,1,5,2,3,3,-0.125,193,40,8,1
2,1,1,2,1,3,0,-0.113,179,41,9,0
2,1,1,2,2,2,0,-0.0986,167,36,16,0
2,1,1,4,4,2,0,-0.1057,186,42,7,0
2,1,1,2,2,1,0,-0.0869,189,49,15,0
2,1,1,3,2,4,0,-0.0827,169,49,8,0
2,1,1,2,3,2,0,-0.1078,146,36,10,0
2,1,1,3,2,3,2,-0.1136,193,47,10,0
2,1,1,2,4,3,0,-0.1244,165,25,16,1
2,1,1,1,2,3,0,-0.112,177,37,16,0
2,1,1,2,2,3,3,-0.1255,167,34,17,0
2,1,1,3,4,3,2,-0.126,172,47,9,0
2,1,1,3,4,3,0,-0.0976,161,39,7,1
2,1,1,5,3,3,5,-0.0781,165,41,16,0
2,1,1,1,1,2,0,-0.0942,150,37,3,0
2,1,1,5,4,1,0,-0.0861,191,47,14,1
2,1,1,2,1,1,0,-0.1113,175,52,8,0
2,1,1,1,4,3,0,-0.0995,192,43,14,0
2,1,1,1,3,2,0,-0.0949,184,57,6,0
2,1,1,1,1,3,0,-0.0964,167,34,17,0
2,1,1,5,3,3,5,-0.1182,182,45,8,1
2,1,1,2,4,1,0,-0.1193,175,52,8,0
2,1,1,2,2,2,0,-0.1019,151,30,9,0
2,1,1,4,4,2,2,-0.1116,168,47,13,0
3,1,1,4,4,2,0,-0.1193,167,36,16,0
3,1,1,5,4,2,0,8.7519,184,57,6,1
3,1,1,1,2,2,0,-0.0987,178,44,11,0
3,1,1,3,4,3,0,-0.1105,182,45,8,0
3,1,1,4,3,3,5,-0.1004,177,49,9,0
3,1,1,5,3,3,5,-0.091,174,46,9,1
3,1,1,3,2,2,3,-0.1262,157,39,9,0
3,1,1,2,4,3,0,-0.0954,165,41,16,1
3,1,1,2,4,3,0,-0.123,164,39,8,1
3,1,1,2,1,2,0,-0.0815,162,45,10,0
3,1,1,1,3,2,0,-0.0928,164,28,10,0
3,1,1,2,2,3,0,-0.1118,161,39,7,0
3,1,1,3,4,3,0,-0.0945,169,46,5,0
3,1,1,4,3,3,3,-0.1212,177,49,9,0
3,1,1,4,1,3,3,-0.126,193,40,8,0
3,1,1,2,3,1,3,-0.1254,168,31,8,0
3,1,1,2,3,2,0,-0.1247,191,47,14,0
3,1,1,2,1,3,1,-0.1223,193,47,10,0
3,1,1,2,3,2,3,-0.1105,168,47,13,0
3,1,1,1,4,3,0,-0.1006,192,43,14,0
3,1,1,1,4,2,0,-0.1257,164,36,11,0
3,1,1,2,3,4,3,-0.1167,169,49,8,0
3,1,1,3,4,2,2,-0.0799,151,30,9,0
3,1,1,2,4,3,0,-0.1275,169,42,4,1
3,1,1,4,1,2,2,-0.0884,167,36,16,0
3,1,1,3,2,2,0,-0.1132,168,47,13,0
3,1,1,1,1,2,0,-0.1168,191,47,14,0
3,1,1,1,1,2,0,-0.1189,158,45,15,0
3,1,1,5,2,3,3,-0.0952,193,40,8,1
3,1,1,1,3,2,3,-0.1148,151,30,9,0
3,1,1,1,3,3,3,-0.1051,164,39,8,0
3,1,1,1,2,2,0,-0.1236,184,57,6,0
3,1,1,5,2,2,3,-0.1255,167,45,7,0
3,1,1,3,3,2,0,-0.0883,173,50,8,0
3,1,1,1,4,3,0,-0.1059,177,49,9,0
3,1,1,1,4,3,0,-0.1142,179,41,9,0
3,1,1,3,2,2,4,-0.0822,186,42,7,0
3,1,1,1,1,3,0,-0.1165,182,45,8,0
4,1,1,4,3,2,3,-0.1253,170,43,8,0
4,1,1,5,2,2,4,-0.1065,204,49,9,0
4,1,1,3,4,4,2,-0.1028,169,49,8,0
4,1,1,2,4,3,0,-0.1107,146,30,6,0
4,1,1,4,4,2,2,-0.1118,150,37,3,0
4,1,1,3,4,3,0,-0.116,194,40,20,0
4,1,1,1,1,3,0,-0.1171,169,46,5,0
4,1,1,3,4,2,0,-0.1224,165,44,12,1
4,1,1,1,2,3,0,-0.1121,165,41,16,0
4,1,1,5,2,2,3,-0.124,164,36,11,1
4,1,1,3,2,1,0,-0.1139,175,52,8,0
4,1,1,3,3,2,0,-0.1255,180,41,8,0
4,1,1,1,3,2,3,-0.1019,185,47,7,0
4,1,1,3,4,3,2,-0.108,193,40,8,0
4,1,1,3,4,2,2,-0.1167,167,34,8,0
4,1,1,2,2,4,0,-0.1157,169,49,8,0
4,1,1,2,4,3,0,-0.096,193,46,16,0
4,1,1,1,1,3,0,-0.1059,167,34,17,0
4,1,1,5,4,3,2,8.0478,192,43,14,1
4,1,1,3,2,2,5,-0.1116,151,30,9,0
4,1,1,2,2,3,0,-0.1093,177,37,16,0
4,1,1,2,3,2,0,-0.1131,163,34,10,0
4,1,1,1,3,2,0,-0.0957,178,44,11,0
4,1,1,3,4,2,0,-0.1261,180,41,8,1
4,1,1,4,3,1,3,-0.0852,168,31,8,0
4,1,1,1,1,2,0,-0.1113,178,44,11,0
4,1,1,4,4,3,0,-0.1163,192,49,7,0
4,1,1,2,2,3,0,-0.1127,179,41,9,0
4,1,1,1,2,3,0,-0.119,169,42,4,0
4,1,1,5,2,2,3,-0.1253,185,47,7,1
4,1,1,2,3,3,3,-0.1012,182,45,8,0
4,1,1,4,2,2,5,-0.0842,167,45,7,0
4,1,1,2,2,3,0,-0.1224,193,46,16,0
4,1,1,3,4,3,0,-0.1033,176,44,11,1
